Date:year,Member State:text,index:number,Indicative level - high:number,Indicative level - low:number
1990,Austria,239,,
1991,Austria,249,,
1992,Austria,194,,
1993,Austria,177,,
1994,Austria,195,,
1995,Austria,204,,
1996,Austria,212,,
1997,Austria,211,,
1998,Austria,184,,
1999,Austria,174,,
2000,Austria,158,,
2001,Austria,176,,
2002,Austria,168,,
2003,Austria,213,,
2004,Austria,197,,
2005,Austria,189,,
2006,Austria,183,,
2007,Austria,169,,
2008,Austria,159,,
2009,Austria,137,,
2010,Austria,156,,
2011,Austria,164,,
2012,Austria,121,,
2013,Austria,109,,
2014,Austria,94,,
2015,Austria,110,,
2016,Austria,98,,
2017,Austria,107,,
2018,Austria,102,,
2019,Austria,91,,
1990,Belgium,358,,
1991,Belgium,365,,
1992,Belgium,349,,
1993,Belgium,358,,
1994,Belgium,366,,
1995,Belgium,351,,
1996,Belgium,324,,
1997,Belgium,295,,
1998,Belgium,313,,
1999,Belgium,262,,
2000,Belgium,270,,
2001,Belgium,257,,
2002,Belgium,263,,
2003,Belgium,266,,
2004,Belgium,271,,
2005,Belgium,275,,
2006,Belgium,253,,
2007,Belgium,242,,
2008,Belgium,238,,
2009,Belgium,213,,
2010,Belgium,213,,
2011,Belgium,194,,
2012,Belgium,208,,
2013,Belgium,190,,
2014,Belgium,205,,
2015,Belgium,227,,
2016,Belgium,172,,
2017,Belgium,177,,
2018,Belgium,207,,
2019,Belgium,167,,
1990,Bulgaria,597,,
1991,Bulgaria,560,,
1992,Bulgaria,687,,
1993,Bulgaria,662,,
1994,Bulgaria,604,,
1995,Bulgaria,556,,
1996,Bulgaria,529,,
1997,Bulgaria,552,,
1998,Bulgaria,567,,
1999,Bulgaria,507,,
2000,Bulgaria,476,,
2001,Bulgaria,525,,
2002,Bulgaria,483,,
2003,Bulgaria,536,,
2004,Bulgaria,536,,
2005,Bulgaria,505,,
2006,Bulgaria,497,,
2007,Bulgaria,602,,
2008,Bulgaria,568,,
2009,Bulgaria,526,,
2010,Bulgaria,529,,
2011,Bulgaria,583,,
2012,Bulgaria,525,,
2013,Bulgaria,481,,
2014,Bulgaria,476,,
2015,Bulgaria,486,,
2016,Bulgaria,462,,
2017,Bulgaria,497,,
2018,Bulgaria,425,,
2019,Bulgaria,421,,
1990,Croatia,347,,
1991,Croatia,213,,
1992,Croatia,327,,
1993,Croatia,343,,
1994,Croatia,230,,
1995,Croatia,260,,
1996,Croatia,195,,
1997,Croatia,289,,
1998,Croatia,321,,
1999,Croatia,295,,
2000,Croatia,292,,
2001,Croatia,305,,
2002,Croatia,363,,
2003,Croatia,389,,
2004,Croatia,288,,
2005,Croatia,305,,
2006,Croatia,314,,
2007,Croatia,396,,
2008,Croatia,344,,
2009,Croatia,271,,
2010,Croatia,216,,
2011,Croatia,306,,
2012,Croatia,290,,
2013,Croatia,206,,
2014,Croatia,178,,
2015,Croatia,212,,
2016,Croatia,210,,
2017,Croatia,195,,
2018,Croatia,135,,
2019,Croatia,145,,
1990,Cyprus,852,,
1991,Cyprus,840,,
1992,Cyprus,839,,
1993,Cyprus,839,,
1994,Cyprus,844,,
1995,Cyprus,834,,
1996,Cyprus,845,,
1997,Cyprus,854,,
1998,Cyprus,856,,
1999,Cyprus,869,,
2000,Cyprus,849,,
2001,Cyprus,787,,
2002,Cyprus,767,,
2003,Cyprus,774,,
2004,Cyprus,782,,
2005,Cyprus,800,,
2006,Cyprus,793,,
2007,Cyprus,796,,
2008,Cyprus,793,,
2009,Cyprus,776,,
2010,Cyprus,735,,
2011,Cyprus,759,,
2012,Cyprus,757,,
2013,Cyprus,666,,
2014,Cyprus,682,,
2015,Cyprus,670,,
2016,Cyprus,679,,
2017,Cyprus,661,,
2018,Cyprus,664,,
2019,Cyprus,651,,
1990,Czechia,781,,
1991,Czechia,776,,
1992,Czechia,775,,
1993,Czechia,773,,
1994,Czechia,773,,
1995,Czechia,783,,
1996,Czechia,781,,
1997,Czechia,734,,
1998,Czechia,725,,
1999,Czechia,689,,
2000,Czechia,688,,
2001,Czechia,687,,
2002,Czechia,664,,
2003,Czechia,599,,
2004,Czechia,597,,
2005,Czechia,616,,
2006,Czechia,613,,
2007,Czechia,615,,
2008,Czechia,602,,
2009,Czechia,572,,
2010,Czechia,554,,
2011,Czechia,544,,
2012,Czechia,508,,
2013,Czechia,477,,
2014,Czechia,481,,
2015,Czechia,495,,
2016,Czechia,505,,
2017,Czechia,453,,
2018,Czechia,445,,
2019,Czechia,431,,
1990,Denmark,680,,
1991,Denmark,694,,
1992,Denmark,666,,
1993,Denmark,631,,
1994,Denmark,634,,
1995,Denmark,604,,
1996,Denmark,632,,
1997,Denmark,584,,
1998,Denmark,545,,
1999,Denmark,510,,
2000,Denmark,479,,
2001,Denmark,470,,
2002,Denmark,463,,
2003,Denmark,490,,
2004,Denmark,424,,
2005,Denmark,388,,
2006,Denmark,475,,
2007,Denmark,442,,
